Nom,Prénom,Parti politique ou candidat indépendant,Nom-Co,Prénom-Co,Titre,Poste no
DUVAL,Jean,Indépendant,,,,"0,00"
HU,Fang,Indépendant,,,,"0,00"
KACOU,Jean-François,Futur Montréal,,,,"0,00"
LE ROUGETEL,Katy,Indépendant,,,,"0,00"
MARTINEZ FERRADA,Soraya,Ensemble Montréal - Équipe Soraya,,,,"0,00"
RABOUIN,Luc,Projet Montréal - Équipe Luc Rabouin,,,,"0,00"
SAUVÉ,Craig,Transition Montréal - Équipe Craig Sauvé,,,,"0,00"
THIBODEAU,Gilbert,Action Montréal - Équipe Gilbert Thibodeau,,,,"0,00"
LEBLANC,Stefan,Action Montréal - Équipe Gilbert Thibodeau,,,,"1,00"
THÉROUX-SÉGUIN,Maude,Ensemble Montréal - Équipe Soraya,,,,"1,00"
THUILLIER,Émilie,Projet Montréal - Équipe Luc Rabouin,,,,"1,00"
BATAILLE,Miro,Transition Montréal - Équipe Craig Sauvé,,,,"1,10"
BEAUVAIS,Carla,Projet Montréal - Équipe Luc Rabouin,,,,"1,10"
BOUCHARD,Johanne,Action Montréal - Équipe Gilbert Thibodeau,,,,"1,10"
LACOMBE,Joanne,Ensemble Montréal - Équipe Soraya,,,,"1,10"
PIERRE,Margarettha,Futur Montréal,,,,"1,10"
AHIBA,Carenne,Futur Montréal,,,,"1,20"
COSENTINO,Silvana,Action Montréal - Équipe Gilbert Thibodeau,,,,"1,20"
ESPOSITO,Victor,Ensemble Montréal - Équipe Soraya,,,,"1,20"
LEMIRE,Benoît,Transition Montréal - Équipe Craig Sauvé,,,,"1,20"
ROY,Julie,Projet Montréal - Équipe Luc Rabouin,,,,"1,20"
CHARTIER,Georges,Action Montréal - Équipe Gilbert Thibodeau,,,,"1,30"
DO,Anh Khoi,Transition Montréal - Équipe Craig Sauvé,,,,"1,30"
GOULET,Nathalie,Projet Montréal - Équipe Luc Rabouin,,,,"1,30"
LALANDE-CHURCH,Justine,Ensemble Montréal - Équipe Soraya,,,,"1,30"
NAKOUZI,Basile,Futur Montréal,,,,"1,30"
DOUILLARD,Alex,Action Montréal - Équipe Gilbert Thibodeau,,,,"1,40"
GIANNOU,Effie,Ensemble Montréal - Équipe Soraya,,,,"1,40"
GIRGIS,Raouf,Futur Montréal,,,,"1,40"
IGOROV,Metodi,Indépendant,,,,"1,40"
KABONGO,Anne-Marie,Projet Montréal - Équipe Luc Rabouin,,,,"1,40"
SHAKOUR,Marc,Transition Montréal - Équipe Craig Sauvé,,,,"1,40"
BEIS,Dimitrios (Jim),Ensemble Montréal - Équipe Soraya,,,,"10,00"
DANIEL,Rébecca Michaëlle,Projet Montréal - Équipe Luc Rabouin,,,,"10,00"
DIALLO,Madjou,Projet Montréal - Équipe Luc Rabouin,,,,"10,10"
LANGEVIN,Benoit,Ensemble Montréal - Équipe Soraya,,,,"10,10"
WILLIAMS,Zachary,Transition Montréal - Équipe Craig Sauvé,,,,"10,10"
CODÈRE,Joseph-Henri,Projet Montréal - Équipe Luc Rabouin,,,,"10,11"
LEROUX,Louise,Ensemble Montréal - Équipe Soraya,,,,"10,11"
MAGNUSSON,Mats,Transition Montréal - Équipe Craig Sauvé,,,,"10,11"
GREEN,Aaron,Transition Montréal - Équipe Craig Sauvé,,,,"10,20"
MOHSEN,Sophie,Ensemble Montréal - Équipe Soraya,,,,"10,20"
TOURÉ,Fadima,Projet Montréal - Équipe Luc Rabouin,,,,"10,20"
CODÈRE,Louis-Philippe,Projet Montréal - Équipe Luc Rabouin,,,,"10,21"
MCDONALD,Amy,Transition Montréal - Équipe Craig Sauvé,,,,"10,21"
TARAKJIAN,Chahi (Sharkie),Ensemble Montréal - Équipe Soraya,,,,"10,21"
BEAUDOIN,Jean,Ensemble Montréal - Équipe Soraya,,,,"11,00"
BOLDUC,Maggie,Transition Montréal - Équipe Craig Sauvé,,,,"11,00"
WONG,Cathy,Projet Montréal - Équipe Luc Rabouin,,,,"11,00"
PLOURDE,Marie,Projet Montréal - Équipe Luc Rabouin,,,,"11,10"
STRAPATSAS,Lemonia,Ensemble Montréal - Équipe Soraya,,,,"11,10"
VALENTE,Sonia,Action Montréal - Équipe Gilbert Thibodeau,,,,"11,10"
