no,type,poste
0.00,Mayor of the City of Montréal,Mayor of the City of Montréal
1.00,Borough mayor,Mayor of the Ahuntsic-Cartierville borough
1.10,City councillor,Electoral district of Sault-au-Récollet
1.20,City councillor,Electoral district of Saint-Sulpice
1.30,City councillor,Electoral district of Ahuntsic
1.40,City councillor,Electoral district of Bordeaux-Cartierville
2.00,Borough mayor,Mayor of the Anjou borough
2.01,City councillor,City councillor for the Anjou borough
2.10,Borough councillor,Electoral district of l'Ouest
2.20,Borough councillor,Electoral district of l'Est
2.30,Borough councillor,Electoral district of centre
3.00,Borough mayor,Mayor of the Côte-des-Neiges–Notre-Dame-de-Grâce borough
3.10,City councillor,Electoral district of Darlington
3.20,City councillor,Electoral district of Côte-des-Neiges
3.30,City councillor,Electoral district of Snowdon
3.40,City councillor,Electoral district of Notre-Dame-de-Grâce
3.50,City councillor,Electoral district of Loyola
4.00,Borough mayor,Mayor of the Lachine borough
4.01,City councillor,City councillor for the Lachine borough
4.10,Borough councillor,Electoral district of Canal
4.20,Borough councillor,Electoral district of J.-Émery-Provost
4.30,Borough councillor,Electoral district of Fort-Rolland
5.00,Borough mayor,Mayor of the LaSalle borough
5.10,City councillor,Electoral district of Sault-Saint-Louis
5.11,Borough councillor,Electoral district of Sault-Saint-Louis (seat 1)
5.12,Borough councillor,Electoral district of Sault-Saint-Louis (seat 2)
5.20,City councillor,Electoral district of Cecil-P.-Newman
5.21,Borough councillor,Electoral district of Cecil-P.-Newman (seat 1)
5.22,Borough councillor,Electoral district of Cecil-P.-Newman (seat 2)
6.00,Borough mayor,Mayor of the L'Île-Bizard–Sainte-Geneviève borough
6.10,Borough councillor,Electoral district of Pierre-Foretier
6.20,Borough councillor,Electoral district of Denis-Benjamin-Viger
6.30,Borough councillor,Electoral district of Jacques-Bizard
6.40,Borough councillor,Electoral district of Sainte-Geneviève
7.00,Borough mayor,Mayor of the Mercier–Hochelaga-Maisonneuve borough
7.10,City councillor,Electoral district of Tétreaultville
7.20,City councillor,Electoral district of Maisonneuve–Longue-Pointe
7.30,City councillor,Electoral district of Hochelaga
7.40,City councillor,Electoral district of Louis-Riel
8.00,Borough mayor,Mayor of the Montréal-Nord borough
8.10,City councillor,Electoral district of Marie-Clarac
8.11,Borough councillor,Electoral district of Marie-Clarac
8.20,City councillor,Electoral district of Ovide-Clermont
8.21,Borough councillor,Electoral district of Ovide-Clermont
9.00,Borough mayor,Mayor of the Outremont borough
9.10,Borough councillor,Electoral district of Claude-Ryan
